"dining_hall","day_of_week","meal","zone","item_name","protein_g","calories","source_url","scraped_at"
"segundo","Sunday","Dinner","Red Zone","Grass-Fed Cheeseburger","27.09",,"https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Red Zone","Seasoned Wedge Fries","2.7","272.53","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Red Zone","Teriyaki Tofu with Sticky Rice","18.14","458.42","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Yellow Zone","Penne Marinara","13.88","322.42","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Yellow Zone","Garlic Breadsticks","2.87",,"https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Yellow Zone","Pepperoni Pizza","9.19","220.88","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Yellow Zone","Cheese Pizza","8.47","201.67","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Green Zone","Salad Bar","3.96","196.24","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Green Zone","Deli Bar","18.87","288.67","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Green Zone","Mexican Chicken Tortilla Soup","4.49","49.0","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Green Zone","Tuscan Mushroom Bean Soup","1.76","44.0","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Purple Zone","Chicken Burrito Bowl","32.18","450.54","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Purple Zone","Assorted Vegetables",,,"https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Pink Zone","Double Chocolate Chip Mint Condition Cookie","2.98","242.67","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
"segundo","Sunday","Dinner","Pink Zone","Macadamias with White Chocolate Chips Cookie","2.98","241.54","https://housing.ucdavis.edu/dining/dining-commons/segundo/","2026-04-01T07:32:20.254755+00:00"
